name,type,spd,img,description
Arisa Huang,Creature Summoner,12,🔨,"AERO's maternal guild leader, wielding hammer and summons to protect her found family."
Jett Kimura,Magical Gunner,13,🔫,"AERO's charming, guarded gunslinger learning to earn the love he chases."
Shou,Demon-possessed swordsman with magical prowess,14,👹,AERO's icy swordsman hiding a monstrous alter ego and a thawing heart.
Maako Karsean,Fire user turns into intangible flames,13,🔥,"AERO's hot-headed flame brawler, blushing his way from bumbling suitor to protector."
Erika Sharp,Healer uses angelic-based spells to hurt and bind enemies,12,👼,"AERO's noble-born cleric, whose naive sweetness hardens into real resilience."
Star Trethowan,Ninja that uses her charms to captivate enemies,16,🥷,"Celestial's flirtatious ninja leader, hiding sharp tactics behind dramatic charm."
Kairu Yusoko,Uses light magic attacks along with a bo staff,13,🌞,"Celestial's endlessly cheerful light-mage, shadowed by a power he can't control."
Sai Ryuzaki,Uses magical chain to bind enemies and can transform chain into sharp weapons,13,⛓️,"Celestial's sarcastic chain-fighter, whose indifference hides fierce, self-sacrificing loyalty."
Kenshin,Uses elemental-based magical attacks from the sword he wields,14,🌪️,"Celestial's formal knight-in-training, humbly working to earn his father's legacy."
Sendara Al Vere,Spear user extremely strong and durable,12,🔱,"Celestial's proud, disciplined spear-wielder, proving her worth after her family cast her aside."
Liara Mitsuke,Swordswoman extremely fast ronin,18,🗡️,"Flame Guild's terse swordswoman, who protects her team through swift, silent action."
Tana Phoenix,Fire user summon flames from the palms of her hands and other body parts,13,🔥,"Flame Guild's short-fused biker girl, guarding a fiercely loyal heart behind her bark."
Ben Sherman,Martial artist uses ki based attacks similar to the Kaioken,14,🥋,"Flame Guild's easygoing, ki-powered martial artist and Kobayashi's warmest rival."
Paul Watoski,Tech genius uses robots and machinery but physically weak,12,🤖,"Flame Guild's bullied-turned-brilliant tinkerer, proving heart can outmatch any bully."
Kaitsu Hoshigaki,Uses magical arrows Speedy archer,18,🏹,"Flame Guild's vain, arrogant archer, hiding a lonely, homesick heart."
Alasia Maltese,Uses ranged explosions,13,💥,"Mist Guild's razor-sharp strategist, whose manipulation slowly turns to devotion."
Lyra,Uses magic spells and healing spells,12,🌟,"Mist Guild's shy spellcaster, quietly carrying a dark past and an untamed power."
Robert Asuko,Boxer with incredible strength and reflexes. Superhuman strength,14,🥊,"Mist Guild's steady, self-effacing boxer, whose devotion to Kara is the guild's gentlest romance."
Soren Harutaki,Uses shield spells and barriers to protect others repel attacks and reflect attacks,12,🪄,"Mist Guild's flamboyant barrier-mage, shielding teammates while doubting his own worth."
Arthur Kinglion,Magic based sniper uses magical bullets,18,🎯,"Mist Guild's boastful sniper, whose insecure bravado becomes real courage for Lyra's sake."
Kobayashi,Monk with chi based attacks,14,🧘,"Terra Guild's earnest orphan-monk, growing from nervous protégé into a steady leader."
Hakudoshi Inoue,Tank extremely durable and packs a punch,9,🛡️,"Terra Guild's loud, food-obsessed tank, hiding a soft heart behind his boasting."
Sora Lorashu,Elemental magic swordsman,14,🌈,"Terra Guild's incorrigible flirt and comic relief, secretly a loyal, big-hearted friend."
Allie Mustang,Uses dark magic,13,🌑,"Terra Guild's deadpan dark-mage, doom-predicting yet quietly one of her guild's strongest fighters."
Kara Higgins,Muse uses a flute to buff allies and curse enemies.,12,🎼,"Terra Guild's blind muse, turning flute and quiet insight into her guild's backbone."
