name,type,hp,atk,def,spd,img,description
Arisa Huang,Creature Summoner,100,12,8,12,📜,"A quiet summoner who commands spirits."
Jett Kimura,Magical Gunner,100,18,6,13,🔮,"A crack shot with arcane bullets."
Shou,Demon-possessed swordsman with magical prowess,100,19,7,14,👹,"A cursed blade and a calm mind."
Maako Karsean,Fire user turns into intangible flames,100,19,6,13,🔥,"Becomes living flame to scorch foes."
Erika Sharp,Healer uses angelic-based spells to hurt and bind enemies,95,10,9,12,👼,"Compassionate healer who binds evil."
Star Trethowan,Ninja that uses her charms to captivate enemies,95,15,7,16,💖,"A beguiling ninja who disarms with charm."
Kairu Yusoko,Uses light magic attacks along with a bo staff,100,17,7,13,🌞,"Radiant staff fighter of the Academy."
Sai Ryuzaki,Uses magical chain to bind enemies and can transform chain into sharp weapons,100,17,7,13,⛓️,"Chains that bind body and spirit."
Kenshin,Uses elemental-based magical attacks from the sword he wields,100,18,7,14,🌪️,"Blade infused with elemental force."
Sendara Al Vere,Spear user extremely strong and durable,110,17,9,12,🗡️,"Immovable vanguard with a piercing spear."
Liara Mitsuke,Swordswoman extremely fast ronin,90,20,5,18,💫,"A swift ronin who strikes twice."
Tana Phoenix,Fire user summon flames from the palms of her hands and other body parts,100,19,5,13,🔥,"Flames dance at her fingertips."
Ben Sherman,Martial artist uses ki based attacks similar to the Kaioken,105,18,7,14,🥋,"Disciplined fighter wielding pure ki."
Paul Watoski,Tech genius uses robots and machinery but physically weak,90,20,4,12,🤖,"Genius tinkerer with drone support."
Kaitsu Hoshigaki,Uses magical arrows Speedy archer,95,20,5,18,🏹,"Fleet archer whose arrows carry spells."
Alasia Maltese,Uses ranged explosions,95,21,4,13,💥,"Demolition prodigy with arcane charges."
Lyra,Uses magic spells and healing spells,95,12,9,12,🌟,"Soothing mage whose light mends all."
Robert Asuko,Boxer with incredible strength and reflexes. Superhuman strength,110,19,7,14,🥊,"A heavyweight phenom with steel fists."
Soren Harutaki,Uses shield spells and barriers to protect others repel attacks and reflect attacks,110,12,11,12,🪄,"Barrier master who turns force aside."
Arthur Kinglion,Magic based sniper uses magical bullets,95,21,4,18,🎯,"A patient sharpshooter with mystic rounds."
Kobayashi,Monk with chi based attacks,105,16,8,14,🧘,"Serene monk who channels inner chi."
Hakudoshi Inoue,Tank extremely durable and packs a punch,125,12,12,9,🛡️,"A living bulwark that shakes the earth."
Sora Lorashu,Elemental magic swordsman,100,18,7,14,🌈,"A duelist weaving elemental currents."
Allie Mustang,Uses dark magic,100,19,6,13,🌑,"Hex weaver who saps strength and hope."
Kara Higgins,Muse uses a flute to buff allies and curse enemies.,95,11,8,12,🎼,"Inspiring muse whose melodies sway fate."
